Posting Data,Document No,Sell-to Customer No,DW_SourceCode,No,Discount,Quantity,Amount Including VAT,Company
02/11/2018,45612,"3610,0",1,8616,"7.25",1.0,"9.25",2
11/04/2011,45612,"2183,0",1,7661,"6.16",1.0,"8.16",2
13/01/2016,45613,"2754,0",1,4376,"4.86",1.0,"5.86",2
24/05/2019,52911,"2702,0",1,6723,"11.69",1.0,"13.69",2
01/07/2017,92760,"2104,0",1,7329,"9.19",1.0,"11.19",2
25/11/2020,78342,"3630,0",1,6872,"12.08",1.0,"13.08",2
19/01/2022,14000,"3371,0",1,7644,"4.14",1.0,"6.14",2
03/11/2011,26679,"3791,0",1,1360,"10.78",1.0,"12.78",2
16/12/2013,23953,"4226,0",1,2448,"2.48",1.0,"5.48",2
16/06/2011,84478,"2517,0",1,8354,"11.94",1.0,"12.94",2
17/07/2012,15038,"3313,0",1,1259,NaN,1.0,"14.16",2
08/10/2018,39410,"3963,0",1,1687,"8.61",1.0,"9.61",2
06/09/2011,38616,"4595,0",1,5322,"11.17",1.0,"14.17",2
15/06/2014,28624,"2312,0",1,8420,NaN,1.0,"8.84",2
12/01/2011,90768,"3472,0",1,7478,"4.29",1.0,"5.29",2
24/08/2017,31427,"4109,0",1,2029,"11.51",1.0,"14.51",2
11/05/2017,19371,"2681,0",1,7667,"11.74",1.0,"12.74",2
22/07/2017,98491,"2449,0",1,5067,"6.76",1.0,"9.76",2
24/02/2013,54734,"4975,0",1,9260,"2.41",1.0,"5.41",2
22/06/2014,85787,"3531,0",1,9191,NaN,1.0,"8.89",2
18/06/2020,12320,"4834,0",1,8035,NaN,1.0,"12.52",2
19/01/2013,57831,"4921,0",1,5937,"12.35",1.0,"13.35",2
10/02/2020,75558,"4464,0",1,8549,"4.46",1.0,"7.46",2
10/09/2013,27853,"3558,0",1,4051,"9.22",1.0,"12.22",2
15/04/2018,45302,"2632,0",1,5725,"5.45",1.0,"7.45",2
02/03/2020,49987,"2368,0",1,4734,"4.73",1.0,"6.73",2
18/12/2020,90172,"3443,0",1,3133,"4.03",1.0,"5.03",2
04/08/2016,58289,"3177,0",1,9751,"3.92",1.0,"6.92",2
04/11/2015,15061,"2296,0",1,7266,"4.56",1.0,"5.56",2
09/12/2020,29784,"3456,0",1,9208,"13.45",1.0,"14.45",2
21/02/2013,38855,"2329,0",1,6819,"5.28",1.0,"6.28",2
09/02/2015,49498,"3098,0",1,5325,"8.40",1.0,"10.40",2
24/07/2016,43438,"3738,0",1,5057,"11.57",1.0,"12.57",2
12/01/2018,27810,"3578,0",1,9053,"12.17",1.0,"14.17",2
01/10/2013,44968,"3250,0",1,5631,"10.89",1.0,"11.89",2
22/12/2011,87910,"4397,0",1,6747,"5.83",1.0,"6.83",2
29/11/2019,32153,"3630,0",1,6019,"10.66",1.0,"11.66",2
20/09/2019,79792,"4943,0",1,7752,"4.77",1.0,"6.77",2
20/01/2016,40700,"2455,0",1,6310,"5.91",1.0,"6.91",2
30/05/2015,68296,"2749,0",1,7008,"10.53",1.0,"12.53",2
15/11/2013,45510,"3410,0",1,5288,"7.88",1.0,"10.88",2
05/12/2020,55152,"3509,0",1,8154,"3.44",1.0,"6.44",2
22/11/2020,93779,"2295,0",1,3298,NaN,1.0,"6.99",2
20/06/2015,57832,"3163,0",1,8908,"5.04",1.0,"8.04",2
07/07/2020,90464,"3566,0",1,8882,"4.34",1.0,"7.34",2
09/10/2021,33083,"2407,0",1,1292,NaN,1.0,"8.09",2
30/07/2021,59128,"4235,0",1,8572,"5.66",1.0,"6.66",2
10/06/2011,87040,"2173,0",1,1941,"5.62",1.0,"6.62",2
23/08/2017,93875,"2850,0",1,8924,"11.96",1.0,"14.96",2
13/05/2014,41506,"3166,0",1,3782,"10.92",1.0,"13.92",2
09/12/2019,63715,"4147,0",1,4128,"5.55",1.0,"8.55",2
02/06/2017,51925,"4578,0",1,2800,"10.75",1.0,"13.75",2
02/04/2011,27483,"2132,0",1,6536,"10.04",1.0,"11.04",2
29/10/2020,14125,"2331,0",1,2925,"5.32",1.0,"8.32",2
28/01/2016,32521,"4310,0",1,4664,"6.93",1.0,"9.93",2
21/10/2018,56644,"3986,0",1,9753,"11.79",1.0,"14.79",2
02/03/2022,72194,"3597,0",1,4703,"3.31",1.0,"5.31",2
21/04/2011,73492,"2992,0",1,2523,"7.59",1.0,"10.59",2
18/12/2021,28418,"4045,0",1,8032,NaN,1.0,"5.18",2
16/09/2016,48838,"3797,0",1,3386,"5.07",1.0,"8.07",2
04/02/2018,94557,"2781,0",1,4497,"10.95",1.0,"13.95",2
26/05/2012,53415,"4167,0",1,1264,"4.65",1.0,"7.65",2
03/08/2014,19038,"3739,0",1,2302,"8.70",1.0,"10.70",2
26/10/2014,40437,"2580,0",1,5978,"8.00",1.0,"9.00",2
10/05/2015,39999,"2568,0",1,9819,"8.27",1.0,"10.27",2
01/12/2018,32399,"3106,0",1,2484,"2.06",1.0,"5.06",2
24/02/2014,39255,"3247,0",1,4897,"10.61",1.0,"11.61",2
27/01/2020,15159,"3374,0",1,4085,"5.61",1.0,"6.61",2
30/07/2012,29349,"2784,0",1,4440,"10.13",1.0,"13.13",2
01/07/2017,30859,"2223,0",1,5044,NaN,1.0,"13.02",2
07/03/2016,48776,"2135,0",1,6085,"7.25",1.0,"8.25",2
14/02/2014,80192,"4961,0",1,8737,NaN,1.0,"7.83",2
23/03/2016,67419,"3328,0",1,8490,"13.12",1.0,"14.12",2
19/09/2016,68797,"3615,0",1,8019,"4.42",1.0,"5.42",2
12/02/2019,20504,"2161,0",1,9275,"10.89",1.0,"13.89",2
05/03/2018,43634,"2900,0",1,1034,"3.22",1.0,"6.22",2
20/11/2017,15048,"2988,0",1,1692,"13.30",1.0,"14.30",2
17/02/2011,57336,"3015,0",1,7953,"12.54",1.0,"14.54",2
28/09/2013,76849,"4577,0",1,5972,"11.25",1.0,"14.25",2
13/01/2012,51139,"4851,0",1,3811,NaN,1.0,"11.40",2
14/08/2012,28879,"2059,0",1,4595,"9.11",1.0,"12.11",2
12/03/2022,67075,"4443,0",1,1410,"8.63",1.0,"10.63",2
12/06/2014,67970,"4412,0",1,7984,"11.57",1.0,"13.57",2
29/01/2021,24904,"2586,0",1,7487,"9.53",1.0,"12.53",2
06/08/2013,36368,"4811,0",1,1757,"12.36",1.0,"14.36",2
18/11/2017,68545,"3876,0",1,1687,"3.79",1.0,"5.79",2
28/03/2022,18020,"4817,0",1,4394,NaN,1.0,"11.86",2
09/02/2018,85678,"3094,0",1,3164,"11.24",1.0,"14.24",2
21/09/2017,17043,"3474,0",1,3355,"11.61",1.0,"13.61",2
27/05/2011,35251,"4885,0",1,9611,"11.02",1.0,"14.02",2
13/05/2012,62943,"4771,0",1,5163,"11.52",1.0,"12.52",2
13/05/2019,73747,"3169,0",1,3544,"3.21",1.0,"6.21",2
27/06/2020,14881,"2060,0",1,6959,"5.24",1.0,"6.24",2
25/06/2016,37737,"2433,0",1,5488,"11.89",1.0,"14.89",2
